"Local Code","Age Group","Population","# of population with at least 1 dose","Percent of population who received at least one dose","# of population fully immunized","Percent of population fully immunized","Alberta: percent of population who received at least one dose","Alberta: percent of population fully immunized","Local Name","Zone Name"
"Z3.6.A.01","12-19 years",515,336,65.3,268,52.1,76.3,64.5,"LAMONT COUNTY","CENTRAL"
"Z3.6.A.01","12+ years",5537,4051,73.2,3522,63.6,83.2,74,"LAMONT COUNTY","CENTRAL"
"Z3.6.A.01","20-39 years",1476,860,58.3,629,42.6,74.9,63.3,"LAMONT COUNTY","CENTRAL"
"Z3.6.A.01","40-59 years",1587,1134,71.4,985,62.1,83.2,75.6,"LAMONT COUNTY","CENTRAL"
"Z3.6.A.01","60-74 years",1367,1161,84.9,1100,80.5,92,88.4,"LAMONT COUNTY","CENTRAL"
"Z3.6.A.01","75+ years",592,543,91.7,529,89.3,92.4,90.6,"LAMONT COUNTY","CENTRAL"
"Z3.6.A.01","ALL years",6388,4051,63.4,3522,55.1,70.8,62.9,"LAMONT COUNTY","CENTRAL"
"Z3.6.A.02","12-19 years",735,135,18.4,92,12.5,76.3,64.5,"TWO HILLS COUNTY","CENTRAL"
"Z3.6.A.02","12+ years",4425,2066,46.7,1786,40.4,83.2,74,"TWO HILLS COUNTY","CENTRAL"
"Z3.6.A.02","20-39 years",1358,356,26.2,268,19.7,74.9,63.3,"TWO HILLS COUNTY","CENTRAL"
"Z3.6.A.02","40-59 years",1099,547,49.8,440,40,83.2,75.6,"TWO HILLS COUNTY","CENTRAL"
"Z3.6.A.02","60-74 years",799,638,79.9,606,75.9,92,88.4,"TWO HILLS COUNTY","CENTRAL"
"Z3.6.A.02","75+ years",434,380,87.5,376,86.6,92.4,90.6,"TWO HILLS COUNTY","CENTRAL"
"Z3.6.A.02","ALL years",5579,2066,37,1786,32,70.8,62.9,"TWO HILLS COUNTY","CENTRAL"
"Z3.6.A.03","12-19 years",938,586,62.5,464,49.5,76.3,64.5,"VEGREVILLE/MINBURN COUNTY","CENTRAL"
"Z3.6.A.03","12+ years",9025,6929,76.8,6103,67.6,83.2,74,"VEGREVILLE/MINBURN COUNTY","CENTRAL"
"Z3.6.A.03","20-39 years",2356,1481,62.9,1166,49.5,74.9,63.3,"VEGREVILLE/MINBURN COUNTY","CENTRAL"
"Z3.6.A.03","40-59 years",2622,2025,77.2,1755,66.9,83.2,75.6,"VEGREVILLE/MINBURN COUNTY","CENTRAL"
"Z3.6.A.03","60-74 years",1975,1755,88.9,1679,85,92,88.4,"VEGREVILLE/MINBURN COUNTY","CENTRAL"
"Z3.6.A.03","75+ years",1134,1053,92.9,1028,90.7,92.4,90.6,"VEGREVILLE/MINBURN COUNTY","CENTRAL"
"Z3.6.A.03","ALL years",10323,6929,67.1,6103,59.1,70.8,62.9,"VEGREVILLE/MINBURN COUNTY","CENTRAL"
"Z3.6.B.04","12-19 years",3942,2080,52.8,1302,33,76.3,64.5,"VERMILION RIVER COUNTY","CENTRAL"
"Z3.6.B.04","12+ years",31122,17540,56.4,12122,39,83.2,74,"VERMILION RIVER COUNTY","CENTRAL"
"Z3.6.B.04","20-39 years",10076,4594,45.6,2933,29.1,74.9,63.3,"VERMILION RIVER COUNTY","CENTRAL"
"Z3.6.B.04","40-59 years",9478,5249,55.4,3615,38.1,83.2,75.6,"VERMILION RIVER COUNTY","CENTRAL"
"Z3.6.B.04","60-74 years",5320,3856,72.5,2978,56,92,88.4,"VERMILION RIVER COUNTY","CENTRAL"
"Z3.6.B.04","75+ years",2307,1672,72.5,1234,53.5,92.4,90.6,"VERMILION RIVER COUNTY","CENTRAL"
"Z3.6.B.04","ALL years",36740,17540,47.7,12122,33,70.8,62.9,"VERMILION RIVER COUNTY","CENTRAL"
"Z3.7.A.01","12-19 years",3495,2241,64.1,1812,51.8,76.3,64.5,"RED DEER - NORTH","CENTRAL"
"Z3.7.A.01","12+ years",30295,22083,72.9,19080,63,83.2,74,"RED DEER - NORTH","CENTRAL"
"Z3.7.A.01","20-39 years",11227,6825,60.8,5356,47.7,74.9,63.3,"RED DEER - NORTH","CENTRAL"
"Z3.7.A.01","40-59 years",9082,7010,77.2,6154,67.8,83.2,75.6,"RED DEER - NORTH","CENTRAL"
"Z3.7.A.01","60-74 years",4794,4309,89.9,4121,86,92,88.4,"RED DEER - NORTH","CENTRAL"
"Z3.7.A.01","75+ years",1697,1581,93.2,1557,91.8,92.4,90.6,"RED DEER - NORTH","CENTRAL"
"Z3.7.A.01","ALL years",35640,22083,62,19080,53.5,70.8,62.9,"RED DEER - NORTH","CENTRAL"
"Z3.7.B.02","12-19 years",1044,697,66.8,526,50.4,76.3,64.5,"RED DEER - SW","CENTRAL"
"Z3.7.B.02","12+ years",13907,9933,71.4,8592,61.8,83.2,74,"RED DEER - SW","CENTRAL"
"Z3.7.B.02","20-39 years",4913,2984,60.7,2346,47.7,74.9,63.3,"RED DEER - SW","CENTRAL"
"Z3.7.B.02","40-59 years",4114,2949,71.7,2560,62.2,83.2,75.6,"RED DEER - SW","CENTRAL"
"Z3.7.B.02","60-74 years",2601,2222,85.4,2101,80.8,92,88.4,"RED DEER - SW","CENTRAL"
"Z3.7.B.02","75+ years",1235,1057,85.6,1041,84.3,92.4,90.6,"RED DEER - SW","CENTRAL"
"Z3.7.B.02","ALL years",15679,9933,63.4,8592,54.8,70.8,62.9,"RED DEER - SW","CENTRAL"
"Z3.7.C.03","12-19 years",5673,4100,72.3,3489,61.5,76.3,64.5,"RED DEER - EAST","CENTRAL"
"Z3.7.C.03","12+ years",47056,36851,78.3,33169,70.5,83.2,74,"RED DEER - EAST","CENTRAL"
"Z3.7.C.03","20-39 years",15749,10706,68,9038,57.4,74.9,63.3,"RED DEER - EAST","CENTRAL"
"Z3.7.C.03","40-59 years",14738,11719,79.5,10645,72.2,83.2,75.6,"RED DEER - EAST","CENTRAL"
"Z3.7.C.03","60-74 years",7823,7255,92.7,7054,90.2,92,88.4,"RED DEER - EAST","CENTRAL"
"Z3.7.C.03","75+ years",3074,2845,92.6,2802,91.2,92.4,90.6,"RED DEER - EAST","CENTRAL"
"Z3.7.C.03","ALL years",55069,36851,66.9,33169,60.2,70.8,62.9,"RED DEER - EAST","CENTRAL"
"Z4.1.A.01","12-19 years",3178,2562,80.6,2058,64.8,76.3,64.5,"EDMONTON - WOODCROFT EAST","EDMONTON"
"Z4.1.A.01","12+ years",54248,43776,80.7,38524,71,83.2,74,"EDMONTON - WOODCROFT EAST","EDMONTON"
"Z4.1.A.01","20-39 years",22925,17300,75.5,14434,63,74.9,63.3,"EDMONTON - WOODCROFT EAST","EDMONTON"
"Z4.1.A.01","40-59 years",15911,12776,80.3,11400,71.7,83.2,75.6,"EDMONTON - WOODCROFT EAST","EDMONTON"
"Z4.1.A.01","60-74 years",8480,7625,89.9,7249,85.5,92,88.4,"EDMONTON - WOODCROFT EAST","EDMONTON"
"Z4.1.A.01","75+ years",3755,3400,90.6,3309,88.1,92.4,90.6,"EDMONTON - WOODCROFT EAST","EDMONTON"
"Z4.1.A.01","ALL years",60664,43776,72.2,38524,63.5,70.8,62.9,"EDMONTON - WOODCROFT EAST","EDMONTON"
"Z4.1.B.02","12-19 years",2553,2209,86.5,1906,74.6,76.3,64.5,"EDMONTON - WOODCROFT WEST","EDMONTON"
"Z4.1.B.02","12+ years",28194,24345,86.3,21894,77.7,83.2,74,"EDMONTON - WOODCROFT WEST","EDMONTON"
"Z4.1.B.02","20-39 years",9952,7937,79.8,6786,68.2,74.9,63.3,"EDMONTON - WOODCROFT WEST","EDMONTON"
"Z4.1.B.02","40-59 years",8844,7728,87.4,6955,78.6,83.2,75.6,"EDMONTON - WOODCROFT WEST","EDMONTON"
"Z4.1.B.02","60-74 years",4995,4611,92.3,4455,89.2,92,88.4,"EDMONTON - WOODCROFT WEST","EDMONTON"
"Z4.1.B.02","75+ years",1850,1745,94.3,1712,92.6,92.4,90.6,"EDMONTON - WOODCROFT WEST","EDMONTON"
"Z4.1.B.02","ALL years",33002,24345,73.8,21894,66.3,70.8,62.9,"EDMONTON - WOODCROFT WEST","EDMONTON"
"Z4.1.C.03","12-19 years",3945,3062,77.6,2540,64.4,76.3,64.5,"EDMONTON - JASPER PLACE","EDMONTON"
"Z4.1.C.03","12+ years",40982,33231,81.1,29555,72.1,83.2,74,"EDMONTON - JASPER PLACE","EDMONTON"
"Z4.1.C.03","20-39 years",13963,10387,74.4,8556,61.3,74.9,63.3,"EDMONTON - JASPER PLACE","EDMONTON"
"Z4.1.C.03","40-59 years",12394,10218,82.4,9216,74.4,83.2,75.6,"EDMONTON - JASPER PLACE","EDMONTON"
"Z4.1.C.03","60-74 years",6818,6062,88.9,5836,85.6,92,88.4,"EDMONTON - JASPER PLACE","EDMONTON"
"Z4.1.C.03","75+ years",3861,3359,87,3316,85.9,92.4,90.6,"EDMONTON - JASPER PLACE","EDMONTON"
"Z4.1.C.03","ALL years",46923,33231,70.8,29555,63,70.8,62.9,"EDMONTON - JASPER PLACE","EDMONTON"
"Z4.1.D.04","12-19 years",9806,8775,89.5,7958,81.2,76.3,64.5,"EDMONTON - WEST JASPER PLACE","EDMONTON"
"Z4.1.D.04","12+ years",87045,80065,92,74813,85.9,83.2,74,"EDMONTON - WEST JASPER PLACE","EDMONTON"
"Z4.1.D.04","20-39 years",29827,25750,86.3,23173,77.7,74.9,63.3,"EDMONTON - WEST JASPER PLACE","EDMONTON"
"Z4.1.D.04","40-59 years",27759,25664,92.5,24247,87.3,83.2,75.6,"EDMONTON - WEST JASPER PLACE","EDMONTON"
"Z4.1.D.04","60-74 years",14584,14431,99,14226,97.5,92,88.4,"EDMONTON - WEST JASPER PLACE","EDMONTON"
"Z4.1.D.04","75+ years",5069,4887,96.4,4797,94.6,92.4,90.6,"EDMONTON - WEST JASPER PLACE","EDMONTON"
"Z4.1.D.04","ALL years",103462,80065,77.4,74813,72.3,70.8,62.9,"EDMONTON - WEST JASPER PLACE","EDMONTON"
"Z4.2.A.01","12-19 years",7314,5948,81.3,4951,67.7,76.3,64.5,"EDMONTON - CASTLE DOWNS","EDMONTON"
"Z4.2.A.01","12+ years",59303,51141,86.2,45826,77.3,83.2,74,"EDMONTON - CASTLE DOWNS","EDMONTON"
"Z4.2.A.01","20-39 years",20895,16497,79,13878,66.4,74.9,63.3,"EDMONTON - CASTLE DOWNS","EDMONTON"
"Z4.2.A.01","40-59 years",18206,15939,87.5,14659,80.5,83.2,75.6,"EDMONTON - CASTLE DOWNS","EDMONTON"
"Z4.2.A.01","60-74 years",9347,9039,96.7,8756,93.7,92,88.4,"EDMONTON - CASTLE DOWNS","EDMONTON"
"Z4.2.A.01","75+ years",3541,3421,96.6,3395,95.9,92.4,90.6,"EDMONTON - CASTLE DOWNS","EDMONTON"
"Z4.2.A.01","ALL years",71594,51141,71.4,45826,64,70.8,62.9,"EDMONTON - CASTLE DOWNS","EDMONTON"
"Z4.2.B.02","12-19 years",7948,6166,77.6,4948,62.3,76.3,64.5,"EDMONTON - NORTHGATE","EDMONTON"
"Z4.2.B.02","12+ years",70694,59006,83.5,52007,73.6,83.2,74,"EDMONTON - NORTHGATE","EDMONTON"
"Z4.2.B.02","20-39 years",24024,18252,76,14865,61.9,74.9,63.3,"EDMONTON - NORTHGATE","EDMONTON"
"Z4.2.B.02","40-59 years",21031,17938,85.3,16025,76.2,83.2,75.6,"EDMONTON - NORTHGATE","EDMONTON"
"Z4.2.B.02","60-74 years",11430,10795,94.4,10519,92,92,88.4,"EDMONTON - NORTHGATE","EDMONTON"
"Z4.2.B.02","75+ years",6261,5587,89.2,5490,87.7,92.4,90.6,"EDMONTON - NORTHGATE","EDMONTON"
"Z4.2.B.02","ALL years",82969,59006,71.1,52007,62.7,70.8,62.9,"EDMONTON - NORTHGATE","EDMONTON"
"Z4.2.C.03","12-19 years",4330,3157,72.9,2387,55.1,76.3,64.5,"EDMONTON - EASTWOOD","EDMONTON"
"Z4.2.C.03","12+ years",64931,49993,77,42628,65.7,83.2,74,"EDMONTON - EASTWOOD","EDMONTON"
"Z4.2.C.03","20-39 years",26629,18749,70.4,15225,57.2,74.9,63.3,"EDMONTON - EASTWOOD","EDMONTON"
"Z4.2.C.03","40-59 years",20057,15567,77.6,13295,66.3,83.2,75.6,"EDMONTON - EASTWOOD","EDMONTON"
"Z4.2.C.03","60-74 years",10377,9316,89.8,8654,83.4,92,88.4,"EDMONTON - EASTWOOD","EDMONTON"
"Z4.2.C.03","75+ years",3537,3089,87.3,2985,84.4,92.4,90.6,"EDMONTON - EASTWOOD","EDMONTON"
"Z4.2.C.03","ALL years",72156,49993,69.3,42628,59.1,70.8,62.9,"EDMONTON - EASTWOOD","EDMONTON"
"Z4.2.D.04","12-19 years",1431,950,66.4,707,49.4,76.3,64.5,"EDMONTON - ABBOTTSFIELD","EDMONTON"
"Z4.2.D.04","12+ years",12251,9261,75.6,7884,64.4,83.2,74,"EDMONTON - ABBOTTSFIELD","EDMONTON"
"Z4.2.D.04","20-39 years",4173,2705,64.8,2092,50.1,74.9,63.3,"EDMONTON - ABBOTTSFIELD","EDMONTON"
"Z4.2.D.04","40-59 years",3726,2926,78.5,2528,67.8,83.2,75.6,"EDMONTON - ABBOTTSFIELD","EDMONTON"
"Z4.2.D.04","60-74 years",2020,1842,91.2,1735,85.9,92,88.4,"EDMONTON - ABBOTTSFIELD","EDMONTON"
"Z4.2.D.04","75+ years",901,806,89.5,807,89.6,92.4,90.6,"EDMONTON - ABBOTTSFIELD","EDMONTON"
"Z4.2.D.04","ALL years",14582,9261,63.5,7884,54.1,70.8,62.9,"EDMONTON - ABBOTTSFIELD","EDMONTON"
"Z4.2.E.05","12-19 years",8471,6674,78.8,5431,64.1,76.3,64.5,"EDMONTON - NE","EDMONTON"
"Z4.2.E.05","12+ years",75198,63280,84.2,55680,74,83.2,74,"EDMONTON - NE","EDMONTON"
"Z4.2.E.05","20-39 years",29269,22387,76.5,18401,62.9,74.9,63.3,"EDMONTON - NE","EDMONTON"
"Z4.2.E.05","40-59 years",22457,19659,87.5,17826,79.4,83.2,75.6,"EDMONTON - NE","EDMONTON"
"Z4.2.E.05","60-74 years",11342,10839,95.6,10461,92.2,92,88.4,"EDMONTON - NE","EDMONTON"
"Z4.2.E.05","75+ years",3659,3384,92.5,3341,91.3,92.4,90.6,"EDMONTON - NE","EDMONTON"
"Z4.2.E.05","ALL years",90743,63280,69.7,55680,61.4,70.8,62.9,"EDMONTON - NE","EDMONTON"
"Z4.3.A.01","12-19 years",6348,5442,85.7,4513,71.1,76.3,64.5,"EDMONTON - BONNIE DOON","EDMONTON"
"Z4.3.A.01","12+ years",87025,75049,86.2,68275,78.5,83.2,74,"EDMONTON - BONNIE DOON","EDMONTON"
"Z4.3.A.01","20-39 years",36202,29709,82.1,26118,72.1,74.9,63.3,"EDMONTON - BONNIE DOON","EDMONTON"
"Z4.3.A.01","40-59 years",23445,20114,85.8,18470,78.8,83.2,75.6,"EDMONTON - BONNIE DOON","EDMONTON"
"Z4.3.A.01","60-74 years",14119,13306,94.2,12909,91.4,92,88.4,"EDMONTON - BONNIE DOON","EDMONTON"
"Z4.3.A.01","75+ years",6911,6205,89.8,6072,87.9,92.4,90.6,"EDMONTON - BONNIE DOON","EDMONTON"
"Z4.3.A.01","ALL years",96621,75049,77.7,68275,70.7,70.8,62.9,"EDMONTON - BONNIE DOON","EDMONTON"
"Z4.3.B.02","12-19 years",5165,4330,83.8,3567,69.1,76.3,64.5,"EDMONTON - MILL WOODS WEST","EDMONTON"
"Z4.3.B.02","12+ years",43747,38186,87.3,33749,77.1,83.2,74,"EDMONTON - MILL WOODS WEST","EDMONTON"
"Z4.3.B.02","20-39 years",15793,12611,79.9,10377,65.7,74.9,63.3,"EDMONTON - MILL WOODS WEST","EDMONTON"
"Z4.3.B.02","40-59 years",12349,11221,90.9,10131,82,83.2,75.6,"EDMONTON - MILL WOODS WEST","EDMONTON"
"Z4.3.B.02","60-74 years",7469,7149,95.7,6905,92.4,92,88.4,"EDMONTON - MILL WOODS WEST","EDMONTON"
"Z4.3.B.02","75+ years",2972,2677,90.1,2632,88.6,92.4,90.6,"EDMONTON - MILL WOODS WEST","EDMONTON"
"Z4.3.B.02","ALL years",51150,38186,74.7,33749,66,70.8,62.9,"EDMONTON - MILL WOODS WEST","EDMONTON"
"Z4.3.C.03","12-19 years",8363,7264,86.9,6401,76.5,76.3,64.5,"EDMONTON - MILL WOODS SOUTH & EAST","EDMONTON"
"Z4.3.C.03","12+ years",71434,65167,91.2,59025,82.6,83.2,74,"EDMONTON - MILL WOODS SOUTH & EAST","EDMONTON"
"Z4.3.C.03","20-39 years",29544,25841,87.5,22249,75.3,74.9,63.3,"EDMONTON - MILL WOODS SOUTH & EAST","EDMONTON"
"Z4.3.C.03","40-59 years",20734,19146,92.3,17945,86.5,83.2,75.6,"EDMONTON - MILL WOODS SOUTH & EAST","EDMONTON"
"Z4.3.C.03","60-74 years",10229,10077,98.5,9773,95.5,92,88.4,"EDMONTON - MILL WOODS SOUTH & EAST","EDMONTON"
"Z4.3.C.03","75+ years",2565,2405,93.8,2366,92.3,92.4,90.6,"EDMONTON - MILL WOODS SOUTH & EAST","EDMONTON"
"Z4.3.C.03","ALL years",85232,65167,76.5,59025,69.3,70.8,62.9,"EDMONTON - MILL WOODS SOUTH & EAST","EDMONTON"
"Z4.4.A.01","12-19 years",3561,3023,84.9,2584,72.6,76.3,64.5,"EDMONTON - DUGGAN","EDMONTON"
"Z4.4.A.01","12+ years",34840,30660,88,28004,80.4,83.2,74,"EDMONTON - DUGGAN","EDMONTON"
"Z4.4.A.01","20-39 years",13311,11109,83.5,9745,73.2,74.9,63.3,"EDMONTON - DUGGAN","EDMONTON"
"Z4.4.A.01","40-59 years",9755,8757,89.8,8080,82.8,83.2,75.6,"EDMONTON - DUGGAN","EDMONTON"
"Z4.4.A.01","60-74 years",4947,4716,95.3,4611,93.2,92,88.4,"EDMONTON - DUGGAN","EDMONTON"
"Z4.4.A.01","75+ years",3266,2895,88.7,2876,88.1,92.4,90.6,"EDMONTON - DUGGAN","EDMONTON"
"Z4.4.A.01","ALL years",40132,30660,76.4,28004,69.8,70.8,62.9,"EDMONTON - DUGGAN","EDMONTON"
"Z4.4.B.02","12-19 years",7596,6952,91.5,6474,85.2,76.3,64.5,"EDMONTON - TWIN BROOKS","EDMONTON"
"Z4.4.B.02","12+ years",65990,59374,90,56557,85.7,83.2,74,"EDMONTON - TWIN BROOKS","EDMONTON"
"Z4.4.B.02","20-39 years",19736,16352,82.9,15004,76,74.9,63.3,"EDMONTON - TWIN BROOKS","EDMONTON"
"Z4.4.B.02","40-59 years",20614,18413,89.3,17683,85.8,83.2,75.6,"EDMONTON - TWIN BROOKS","EDMONTON"
"Z4.4.B.02","60-74 years",12499,11859,94.9,11753,94,92,88.4,"EDMONTON - TWIN BROOKS","EDMONTON"
"Z4.4.B.02","75+ years",5544,5351,96.5,5308,95.7,92.4,90.6,"EDMONTON - TWIN BROOKS","EDMONTON"
"Z4.4.B.02","ALL years",75969,59374,78.2,56557,74.4,70.8,62.9,"EDMONTON - TWIN BROOKS","EDMONTON"
"Z4.4.C.03","12-19 years",9442,8832,93.5,8270,87.6,76.3,64.5,"EDMONTON - RUTHERFORD","EDMONTON"
"Z4.4.C.03","12+ years",88567,83047,93.8,77999,88.1,83.2,74,"EDMONTON - RUTHERFORD","EDMONTON"
"Z4.4.C.03","20-39 years",40495,36377,89.8,32926,81.3,74.9,63.3,"EDMONTON - RUTHERFORD","EDMONTON"
"Z4.4.C.03","40-59 years",27191,25515,93.8,24932,91.7,83.2,75.6,"EDMONTON - RUTHERFORD","EDMONTON"
"Z4.4.C.03","60-74 years",9024,9196,100,8942,99.1,92,88.4,"EDMONTON - RUTHERFORD","EDMONTON"
"Z4.4.C.03","75+ years",2415,2484,100,2461,101.9,92.4,90.6,"EDMONTON - RUTHERFORD","EDMONTON"
"Z4.4.C.03","ALL years",112265,83047,74,77999,69.5,70.8,62.9,"EDMONTON - RUTHERFORD","EDMONTON"
"Z4.5.A.01","12-19 years",3271,2457,75.1,1935,59.2,76.3,64.5,"STURGEON COUNTY WEST","EDMONTON"
"Z4.5.A.01","12+ years",25052,20186,80.6,17619,70.3,83.2,74,"STURGEON COUNTY WEST","EDMONTON"
"Z4.5.A.01","20-39 years",7943,5621,70.8,4504,56.7,74.9,63.3,"STURGEON COUNTY WEST","EDMONTON"
"Z4.5.A.01","40-59 years",7830,6453,82.4,5807,74.2,83.2,75.6,"STURGEON COUNTY WEST","EDMONTON"
"Z4.5.A.01","60-74 years",4687,4249,90.7,4063,86.7,92,88.4,"STURGEON COUNTY WEST","EDMONTON"
"Z4.5.A.01","75+ years",1321,1268,96,1218,92.2,92.4,90.6,"STURGEON COUNTY WEST","EDMONTON"
"Z4.5.A.01","ALL years",30154,20186,66.9,17619,58.4,70.8,62.9,"STURGEON COUNTY WEST","EDMONTON"
"Z4.5.B.02","12-19 years",690,444,64.4,385,55.8,76.3,64.5,"STURGEON COUNTY EAST","EDMONTON"
"Z4.5.B.02","12+ years",5204,3975,76.4,3562,68.4,83.2,74,"STURGEON COUNTY EAST","EDMONTON"
"Z4.5.B.02","20-39 years",1560,1060,68,867,55.6,74.9,63.3,"STURGEON COUNTY EAST","EDMONTON"
"Z4.5.B.02","40-59 years",1754,1341,76.4,1217,69.4,83.2,75.6,"STURGEON COUNTY EAST","EDMONTON"
"Z4.5.B.02","60-74 years",939,850,90.5,825,87.8,92,88.4,"STURGEON COUNTY EAST","EDMONTON"
"Z4.5.B.02","75+ years",261,250,95.8,246,94.2,92.4,90.6,"STURGEON COUNTY EAST","EDMONTON"
"Z4.5.B.02","ALL years",6095,3975,65.2,3562,58.4,70.8,62.9,"STURGEON COUNTY EAST","EDMONTON"
"Z4.5.B.03","12-19 years",2447,2034,83.1,1698,69.4,76.3,64.5,"FORT SASKATCHEWAN","EDMONTON"
"Z4.5.B.03","12+ years",22307,18631,83.5,16568,74.3,83.2,74,"FORT SASKATCHEWAN","EDMONTON"
"Z4.5.B.03","20-39 years",8330,6229,74.8,5209,62.5,74.9,63.3,"FORT SASKATCHEWAN","EDMONTON"
"Z4.5.B.03","40-59 years",6648,5584,84,5058,76.1,83.2,75.6,"FORT SASKATCHEWAN","EDMONTON"
"Z4.5.B.03","60-74 years",3546,3341,94.2,3214,90.6,92,88.4,"FORT SASKATCHEWAN","EDMONTON"
"Z4.5.B.03","75+ years",1337,1333,99.7,1310,98,92.4,90.6,"FORT SASKATCHEWAN","EDMONTON"
"Z4.5.B.03","ALL years",26795,18631,69.5,16568,61.8,70.8,62.9,"FORT SASKATCHEWAN","EDMONTON"
"Z4.6.A.01","12-19 years",8616,7733,89.8,6819,79.1,76.3,64.5,"SHERWOOD PARK","EDMONTON"
"Z4.6.A.01","12+ years",71147,64108,90.1,59522,83.7,83.2,74,"SHERWOOD PARK","EDMONTON"
"Z4.6.A.01","20-39 years",20568,16991,82.6,15034,73.1,74.9,63.3,"SHERWOOD PARK","EDMONTON"
"Z4.6.A.01","40-59 years",22831,20314,89,19096,83.6,83.2,75.6,"SHERWOOD PARK","EDMONTON"
"Z4.6.A.01","60-74 years",13456,12914,96,12590,93.6,92,88.4,"SHERWOOD PARK","EDMONTON"
"Z4.6.A.01","75+ years",5676,5703,100,5670,99.9,92.4,90.6,"SHERWOOD PARK","EDMONTON"
"Z4.6.A.01","ALL years",82033,64108,78.1,59522,72.6,70.8,62.9,"SHERWOOD PARK","EDMONTON"
"Z4.6.B.02","12-19 years",1803,1337,74.2,1110,61.6,76.3,64.5,"STRATHCONA COUNTY EXCLUDING SHERWOOD PARK","EDMONTON"
"Z4.6.B.02","12+ years",15406,12610,81.9,11481,74.5,83.2,74,"STRATHCONA COUNTY EXCLUDING SHERWOOD PARK","EDMONTON"
"Z4.6.B.02","20-39 years",4061,3055,75.2,2578,63.5,74.9,63.3,"STRATHCONA COUNTY EXCLUDING SHERWOOD PARK","EDMONTON"
"Z4.6.B.02","40-59 years",5136,4135,80.5,3773,73.5,83.2,75.6,"STRATHCONA COUNTY EXCLUDING SHERWOOD PARK","EDMONTON"
"Z4.6.B.02","60-74 years",3559,3232,90.8,3200,89.9,92,88.4,"STRATHCONA COUNTY EXCLUDING SHERWOOD PARK","EDMONTON"
"Z4.6.B.02","75+ years",847,790,93.3,778,91.9,92.4,90.6,"STRATHCONA COUNTY EXCLUDING SHERWOOD PARK","EDMONTON"
"Z4.6.B.02","ALL years",17420,12610,72.4,11481,65.9,70.8,62.9,"STRATHCONA COUNTY EXCLUDING SHERWOOD PARK","EDMONTON"
"Z4.7.A.01","12-19 years",2819,2385,84.6,2001,71,76.3,64.5,"BEAUMONT","EDMONTON"
"Z4.7.A.01","12+ years",20924,18038,86.2,16145,77.2,83.2,74,"BEAUMONT","EDMONTON"
"Z4.7.A.01","20-39 years",6943,5488,79,4678,67.4,74.9,63.3,"BEAUMONT","EDMONTON"
"Z4.7.A.01","40-59 years",6948,5972,85.9,5441,78.3,83.2,75.6,"BEAUMONT","EDMONTON"
"Z4.7.A.01","60-74 years",3426,3255,95,3166,92.4,92,88.4,"BEAUMONT","EDMONTON"
"Z4.7.A.01","75+ years",787,759,96.4,745,94.6,92.4,90.6,"BEAUMONT","EDMONTON"
"Z4.7.A.01","ALL years",25785,18038,70,16145,62.6,70.8,62.9,"BEAUMONT","EDMONTON"
"Z4.7.A.02","12-19 years",4135,3248,78.6,2660,64.3,76.3,64.5,"LEDUC & DEVON","EDMONTON"
"Z4.7.A.02","12+ years",35853,29262,81.6,25788,71.9,83.2,74,"LEDUC & DEVON","EDMONTON"
"Z4.7.A.02","20-39 years",12370,8783,71,7146,57.8,74.9,63.3,"LEDUC & DEVON","EDMONTON"
"Z4.7.A.02","40-59 years",10946,9078,82.9,8190,74.8,83.2,75.6,"LEDUC & DEVON","EDMONTON"
"Z4.7.A.02","60-74 years",6012,5645,93.9,5357,89.1,92,88.4,"LEDUC & DEVON","EDMONTON"
"Z4.7.A.02","75+ years",2391,2293,95.9,2289,95.7,92.4,90.6,"LEDUC & DEVON","EDMONTON"
"Z4.7.A.02","ALL years",43021,29262,68,25788,59.9,70.8,62.9,"LEDUC & DEVON","EDMONTON"
"Z4.7.A.03","12-19 years",817,483,59.1,363,44.4,76.3,64.5,"THORSBY","EDMONTON"
"Z4.7.A.03","12+ years",7844,5447,69.4,4693,59.8,83.2,74,"THORSBY","EDMONTON"
"Z4.7.A.03","20-39 years",2161,1269,58.7,942,43.6,74.9,63.3,"THORSBY","EDMONTON"
"Z4.7.A.03","40-59 years",2459,1643,66.8,1437,58.4,83.2,75.6,"THORSBY","EDMONTON"
"Z4.7.A.03","60-74 years",1803,1495,82.9,1428,79.2,92,88.4,"THORSBY","EDMONTON"
"Z4.7.A.03","75+ years",602,542,90,514,85.3,92.4,90.6,"THORSBY","EDMONTON"
"Z4.7.A.03","ALL years",9090,5447,59.9,4693,51.6,70.8,62.9,"THORSBY","EDMONTON"
"Z4.8.A.01","12-19 years",5787,4529,78.3,3733,64.5,76.3,64.5,"STONY PLAIN & SPRUCE GROVE","EDMONTON"
"Z4.8.A.01","12+ years",48516,40056,82.6,35440,73,83.2,74,"STONY PLAIN & SPRUCE GROVE","EDMONTON"
"Z4.8.A.01","20-39 years",16567,12009,72.5,9879,59.6,74.9,63.3,"STONY PLAIN & SPRUCE GROVE","EDMONTON"
"Z4.8.A.01","40-59 years",14579,12259,84.1,10996,75.4,83.2,75.6,"STONY PLAIN & SPRUCE GROVE","EDMONTON"
"Z4.8.A.01","60-74 years",8230,7701,93.6,7428,90.3,92,88.4,"STONY PLAIN & SPRUCE GROVE","EDMONTON"
